Step_1;Step_2;Step_3;Step_4;Step_5;Exporter;Product;Allocated_Volume
PRODUCTION-BR-4127403;HUB-BR-4115200;PORT-BR-3548500;;;AMAGGI;SOYBEAN;138674.72581447358
PRODUCTION-BR-4127908;HUB-BR-4115200;PORT-BR-3548500;;;AMAGGI;SOYBEAN;36852.51549242697
PRODUCTION-BR-5004601;HUB-BR-4115200;PORT-BR-3548500;;;AMAGGI;SOYBEAN;157696.89775638518
PRODUCTION-BR-5004809;HUB-BR-4115200;PORT-BR-3548500;;;AMAGGI;SOYBEAN;9976.242115481979
PRODUCTION-BR-4115358;HUB-BR-4117909;PORT-BR-4118204;;;C. VALE;SOYBEAN;30000.0
PRODUCTION-BR-4307005;HUB-BR-4118204;PORT-BR-4118204;;;AMAGGI;SOYBEAN;36370.105
HUB-BR-4118204;PORT-BR-4118204;;;;BUNGE;SOYBEAN;387501.0698
HUB-BR-4118204;PORT-BR-4118204;;;;COAMO;SOYBEAN;500.0
PRODUCTION-BR-4119905;HUB-BR-4119905;PORT-BR-4118204;;;CARGILL;SOYBEAN;5000.0
PRODUCTION-BR-4119905;HUB-BR-4119905;PORT-BR-4315602;;;CARGILL;SOYBEAN;69542.0
PRODUCTION-BR-4120606;HUB-BR-4120606;PORT-BR-4216206;;;COAMA COMERCIAL AGRICOLA MATIOSKI LTDA;SOYBEAN;5000.0
PRODUCTION-BR-4121406;HUB-BR-4121406;PORT-BR-4118204;;;BIORGANICA COMERCIO DE PRODUTOS ORGANICOS;SOYBEAN;20.016001
PRODUCTION-BR-4203303;HUB-BR-4208450;PORT-BR-4216206;;;COAMO;SOYBEAN;3079.369003
PRODUCTION-BR-4203907;HUB-BR-4209003;PORT-BR-4216206;;;ADM;SOYBEAN;21000.0
PRODUCTION-BR-4205209;HUB-BR-4209003;PORT-BR-4216206;;;ADM;SOYBEAN;10350.0
PRODUCTION-BR-4206702;HUB-BR-4209003;PORT-BR-4216206;;;ADM;SOYBEAN;1650.0
PRODUCTION-BR-4209003;HUB-BR-4209003;PORT-BR-4216206;;;ADM;SOYBEAN;5400.0
PRODUCTION-BR-4209201;HUB-BR-4209003;PORT-BR-4216206;;;ADM;SOYBEAN;1700.0
PRODUCTION-BR-4210035;HUB-BR-4209003;PORT-BR-4216206;;;ADM;SOYBEAN;1770.0
PRODUCTION-BR-4211801;HUB-BR-4209003;PORT-BR-4216206;;;ADM;SOYBEAN;3000.0
PRODUCTION-BR-4213104;HUB-BR-4209003;PORT-BR-4216206;;;ADM;SOYBEAN;2640.0
PRODUCTION-BR-4219853;HUB-BR-4209003;PORT-BR-4216206;;;ADM;SOYBEAN;28314.0
PRODUCTION-BR-4311700;HUB-BR-4209003;PORT-BR-4216206;;;ADM;SOYBEAN;47500.0
PRODUCTION-BR-4312203;HUB-BR-4209003;PORT-BR-4216206;;;ADM;SOYBEAN;9633.416
HUB-BR-4209003;PORT-BR-4216206;;;;No Match;SOYBEAN;0.0040000000153668225
PRODUCTION-BR-4213609;HUB-BR-4213609;PORT-BR-4216206;;;CARGILL;SOYBEAN;192000.0
PRODUCTION-BR-4304952;HUB-BR-4216206;PORT-BR-4118204;;;CISBRALOG LOGISTICA DO BRASIL LTDA - ME;SOYBEAN;1000.0
PRODUCTION-BR-4303004;HUB-BR-4303004;PORT-BR-4315602;;;IRMAOS TREVISAN SA INDUSTRIA COMERCIO E AGRICULTURA;SOYBEAN;23.018999
PRODUCTION-BR-4323002;HUB-BR-4314902;PORT-BR-4315602;;;ENGELHART;SOYBEAN;517940.38181
